eo_number,document_number,authority,source_quote,quote_trimmed
14115,2024-02354,Secretary of State and Secretary of Homeland Security (as appropriate) to determine entry suspensions,"the entry of such persons into the United States, as immigrants or nonimmigrants, is hereby suspended",0
14115,2024-02354,President (delegated to Treasury/State) to waive prior notice for listings,there need be no prior notice of a listing or determination made pursuant to this order.,0
14116,2024-04012,Captain of the Port,"Captain of the Port may prevent any person, article, or thing, including any data, information, network, program, system, or other digital infrastructure, from boarding or being taken or placed on board any vessel",0
14116,2024-04012,Captain of the Port,The Captain of a Port may establish security zones subject to the terms and conditions specified in Sec. 6.01-5,0
14117,2024-04573,International Emergency Economic Powers Act; National Emergencies Act; 3 U.S.C. §301,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), and section 301 of title 3, United States Code",0
14119,2024-05220,revokes_or_amends,"Executive Order 13812 of September 29, 2017 (Revocation of Executive Order Creating Labor-Management Forums), is hereby revoked.",0
14119,2024-05220,revokes_or_amends,"This order supersedes Executive Order 13522 of December 9, 2009 (Creating Labor-Management Forums to Improve Delivery of Government Services).",0
14119,2024-05220,references,"consistent with section 6 of Executive Order 14035 of June 25, 2021 (Diversity, Equity, Inclusion, and Accessibility in the Federal Workforce).",0
14120,2024-06123,"Executive Order 14110, section 8(b)","in implementing section 8(b) of Executive Order 14110 of October 30, 2023 (Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence)",0
14120,2024-06123,Presidential Memorandum of 13 Nov 2023,"the interagency, advisory body established by the Presidential Memorandum of November 13, 2023 (White House Initiative on Women’s Health Research)",0
14121,2024-06931,policy_statement,Women and girls of all backgrounds have shaped our country's history ... It is the policy of my Administration to recognize and honor the diverse trailblazers--including women and girls--who have contributed to the fabric of our Nation.,0
14123,2024-13810,Executive Order 14017,This order supplements and reaffirms the principles governing America's supply chains established in Executive Order 14017.,0
14125,2024-16740,section 9A of the Railway Labor Act,including section 9A of the RLA,0
14126,2024-20712,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
14128,2024-27850,Section 9A(e) of the Railway Labor Act (45 U.S.C. § 159a),"Section 9A(e) of the RLA provides that the President, upon such request, shall appoint a second emergency board to investigate and report on the dispute",0
14130,2024-31354,Executive Order 12473 (1984) – original Manual for Courts‑Martial,"prescribed by Executive Order 12473 of April 13, 1984",0
14130,2024-31354,James M. Inhofe National Defense Authorization Act for FY 2023 (Pub. L. 117‑263),"pursuant to section 543 of the James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Public Law 117‑263 (10 U.S.C. 825(e)(4))",0
14132,2024-31466,Presidential,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
14133,2024-31766,Heads of executive departments and agencies,"The heads of executive departments and agencies may determine that certain offices and installations of their organizations, or parts thereof, must remain open and that certain employees must report for duty on January 9, 2025, for reasons of national security, defense, or other public need.",0
14133,2024-31766,Director of the Office of Personnel Management,The Director of the Office of Personnel Management shall take such actions as may be necessary to implement this order.,0
14136,2025-00611,"Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.","including the Federal Vacancies Reform Act of 1998, as amended, 5 U.S.C. 3345 et seq.",0
14136,2025-00611,28 U.S.C. 508,pursuant to 28 U.S.C. 508 to act as Attorney General,0
14138,2025-00619,"Federal Vacancies Reform Act of 1998, as amended, 5 U.S.C. 3345 et seq.",shall act as and perform the functions and duties of the office of Director of the Office of Management and Budget,0
14139,2025-00620,"Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.","including the Federal Vacancies Reform Act of 1998, as amended, 5 U.S.C. 3345 et seq.",0
14141,2025-01395,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
14142,2025-01437,Executive Order 13894,Executive Order 13894 is hereby amended by:,0
14145,2025-01758,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
14151,2025-01953,Constitution of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14152,2025-01954,revocation of security clearances,this Order directs the revocation of any active or current security clearances held by: (i) the former intelligence officials …; and (ii) John R. Bolton.,0
14153,2025-01955,revokes Secretarial Order 3401 (June 1 2021),"(i) withdraw Secretarial Order 3401 dated June 1, 2021",0
14153,2025-01955,reinstates Public Land Order No. 7899 (Jan 11 2021) and similar orders 7900‑7903,"reinstate the following Public Land Orders in their original form: a. Public Land Order No. 7899, signed by the Secretary of the Interior on January 11, 2021",0
14153,2025-01955,imposes a temporary moratorium on the Dec 8 2024 record of decision,"place a temporary moratorium on all activities and privileges granted to any party pursuant to the record of decision signed on December 8, 2024, entitled “Coastal Plain Oil and Gas Leasing Program Record of Decision,”",0
14153,2025-01955,rescinds the BLM final rule (May 7 2024) on the National Petroleum Reserve in Alaska,"rescind the Bureau of Land Management final rule entitled “Management and Protection of the National Petroleum Reserve in Alaska,” 89 Fed. Reg. 38712 (May 7, 2024)",0
14155,2025-01957,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14156,2025-02003,Federal eminent domain and Defense Production Act authorities,If an agency assesses that use of either Federal eminent domain authorities or authorities afforded under the Defense Production Act ... are necessary ... the agency shall submit recommendations ... to the President,0
14156,2025-02003,Section 2808 construction authority (National Emergencies Act),"the construction authority provided in section 2808 of title 10, United States Code, is invoked and made available, according to its terms, to the Secretary of the Army",0
14157,2025-02004,Constitution of the United States,by the Constitution,0
14157,2025-02004,Immigration and Nationality Act (8 U.S.C. 1101 et seq.),"including the Immigration and Nationality Act (INA), 8 U.S.C. 1101 et seq.",0
14157,2025-02004,International Emergency Economic Powers Act (50 U.S.C. 1701),"the International Emergency Economic Powers Act (IEEPA), 50 U.S.C. 1701 et seq.",0
14158,2025-02005,Agency Heads,each Agency Head shall ... establish ... a DOGE Team ... hired or assigned within thirty days of the date of this Order,0
14158,2025-02005,USDS Administrator,The USDS Administrator shall commence a Software Modernization Initiative to improve the quality and efficiency of government-wide software,0
14159,2025-02006,Executive departments and agencies (agencies),"shall take all appropriate action to promptly revoke all memoranda, guidance, or other policies based on the Executive Orders revoked in section 3(a) of this order",0
14160,2025-02007,prohibit issuance or acceptance of citizenship documents for specified persons,"no department or agency of the United States government shall issue documents recognizing United States citizenship, or accept documents issued by State, local, or other governments or authorities purporting to recognize United States citizenship, to persons: (1) when that person's mother was unlawfully present in the United States and the",1
14160,2025-02007,policy applies only to births occurring more than 30 days after the order,Subsection (a) of this section shall apply only to persons who are born within the United States after 30 days from the date of this order,0
14160,2025-02007,preserve existing citizenship documentation rights for other individuals,"Nothing in this order shall be construed to affect the entitlement of other individuals, including children of lawful permanent residents, to obtain documentation of their United States citizenship",0
14161,2025-02009,"Constitution, Immigration and Nationality Act, 8 U.S.C. 1101 et seq., and 3 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Immigration and Nationality Act (INA), 8 U.S.C. 1101 et seq., and section 301 of title 3, United States Code",0
14162,2025-02010,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
14163,2025-02011,Immigration and Nationality Act sections 212(f) and 215(a),"I hereby proclaim, pursuant to sections 212(f) and 215(a) of the INA, 8 U.S.C. 1182(f) and 1185(a), that entry into the United States of refugees under the USRAP would be detrimental to the interests of the United States.",0
14165,2025-02015,reporting requirement (recommendations to the President within 14 days),"Within 14 days of the date of this order, the Secretary of State, the Attorney General, the Secretary of Health and Human Services, and the Secretary of Homeland Security shall provide recommendations to the President",0
14166,2025-02087,Protecting Americans From Foreign Adversary Controlled Applications Act,"the prohibitions of the Act with respect to these entities became effective on January 19, 2025.",0
14166,2025-02087,Protecting Americans From Foreign Adversary Controlled Applications Act,"Section 2(g) of the Act defines “Foreign Adversary Controlled Application” to include websites, desktop applications, mobile applications, and augmented or immersive technology applications operated directly or indirectly by ByteDance Ltd. or TikTok.",0
14167,2025-02089,Secretary of Defense,The Secretary of Defense shall:,0
14168,2025-02090,Presidential authority under the Constitution and 5 U.S.C. § 7301,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 7301 of title 5, United States Code, it is hereby ordered:",0
14169,2025-02091,OMB apportionment authority,The Office of Management and Budget (OMB) shall enforce this pause through its apportionment authority.,0
14169,2025-02091,Guidelines from the Secretary of State and OMB Director,"Reviews of each foreign assistance program shall be ordered by the responsible department and agency heads under guidelines provided by the Secretary of State, in consultation with the Director of OMB.",0
14170,2025-02094,Federal Hiring Plan,"prevent the hiring of individuals based on their race, sex, or religion",0
14170,2025-02094,Federal Hiring Plan,decrease government-wide time-to-hire to under 80 days,0
14170,2025-02094,Office of Personnel Management,establish clear performance metrics to evaluate the success of these reforms,0
14171,2025-02095,"5 U.S.C. §§ 3301, 3302, 7511","including sections 3301, 3302, and 7511 of title 5, United States Code",0
14172,2025-02096,All executive agencies with authority to appoint members to the U.S. Board on Geographic Names,"Within seven days of the date of this order, each agency head with authority to appoint members to the Board on Geographic Names (Board) pursuant to 43 U.S.C. 364a, shall review their respective appointees and consider replacing those appointees",0
14173,2025-02097,President,The following executive actions are hereby revoked:,0
14173,2025-02097,Director of OMB,"The Director of the Office of Management and Budget (OMB), with the assistance of the Attorney General as requested, shall:",0
14174,2025-02098,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14175,2025-02103,8 U.S.C. 1189 – designation of foreign terrorist organizations,consistent with section 219 of the INA (8 U.S.C. 1189),0
14176,2025-02116,President John F. Kennedy Assassination Records Collection Act of 1992,"The President John F. Kennedy Assassination Records Collection Act of 1992 required all records related to the assassination of President Kennedy to be publicly disclosed in full by October 26, 2017, unless the President certifies that: (i) continued postponement is made necessary by an identifiable harm to the military defense, intelligence operations, law enforcement, or conduct of foreign relations; and (ii) the identifiable harm is of such gravity that it outweighs the public interest in disclosure.",0
14178,2025-02123,Constitution of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14179,2025-02172,revocation of prior AI policies,This order revokes certain existing AI policies and directives that act as barriers to American AI innovation,0
14179,2025-02172,revokes EO 14110,"revoked Executive Order 14110 of October 30, 2023",0
14181,2025-02174,references Executive Order of January 20 2025 (National Energy Emergency),"In accordance with section 6 of the Executive Order of January 20, 2025 (Declaring a National Energy Emergency)",0
14182,2025-02175,revokes,The following Executive Orders are hereby revoked:,0
14183,2025-02178,revocation of EO 14004,"Executive Order 14004 of January 25, 2021 (Enabling All Qualified Americans To Serve Their Country in Uniform), has been revoked.",0
14184,2025-02180,Secretary of Defense vaccine mandate (2021‑08‑24),"On August 24, 2021, the Secretary of Defense mandated that all service members receive the COVID‑19 vaccine",0
14184,2025-02180,Rescission of vaccine mandate (2023‑01‑10),"The Secretary of Defense later rescinded the mandate on January 10, 2023",0
14184,2025-02180,UCMJ chapter 47 (10 U.S.C. 801‑946a),"Nothing in this order precludes disciplinary or administrative action for conduct that is proscribed by chapter 47 of title 10, United States Code (Uniform Code of Military Justice, 10 U.S.C. 801‑946a)",0
14185,2025-02181,Abolish DEI offices,"The Secretary of Defense and the Secretary of Homeland Security shall abolish every DEI office within the Department of Defense and the Department of Homeland Security with regard to the USCG, respectively",0
14185,2025-02181,Conduct internal DEI review,The Secretary of Defense shall conduct an internal review that documents actions taken in pursuit of DEI initiatives,0
14185,2025-02181,Issue implementation guidance,The Secretary of Defense and the Secretary of Homeland Security shall issue detailed guidance for the implementation of this order,0
14185,2025-02181,Submit implementation progress report,The Secretary of Defense and the Secretary of Homeland Security shall submit a report ... documenting the progress of their respective Departments in implementing this order,0
14186,2025-02182,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14187,2025-02194,Presidential authority under the U.S. Constitution and federal law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14188,2025-02230,All available and appropriate legal tools,"to combat anti-Semitism vigorously, using all available and appropriate legal tools",0
14189,2025-02231,reinstates_EO_13934_and_EO_13978,"Executive Order 13934 ... and Executive Order 13978 ... are reinstated as they were prior to issuance of Executive Order 14029 of May 14, 2021.",0
14189,2025-02231,reinstates_EO_13933,"Executive Order 13933 ... is hereby reinstated as it was prior to the issuance of Executive Order 14029 of May 14, 2021.",0
14189,2025-02231,amends_EO_13934_section_3c_ii,Section 3(c)(ii) of Executive Order 13934 is amended by striking ... and inserting ...,0
14190,2025-02232,"Secretary of Education, Secretary of Defense, Secretary of Health and Human Services (with Attorney General) to produce a strategy","Within 90 days of the date of this order,",1
14190,2025-02232,Attorney General to coordinate enforcement with state and local prosecutors,The Attorney General shall coordinate with State attorneys general and local district attorneys in their efforts to enforce the law and file appropriate actions against K‑12 teachers and school officials who violate the,1
14191,2025-02233,President,It is the policy of my Administration to support parents in choosing and directing the upbringing and education of their children.,0
14192,2025-02345,Office of Management and Budget,The Director shall provide the heads of agencies with guidance on the implementation of this section,0
14192,2025-02345,Office of Management and Budget,"During the Presidential budget process, the Director shall identify to agencies a total amount of incremental costs that will be allowed for each agency in issuing new regulations and repealing regulations for each fiscal year after fiscal year 2025",0
14193,2025-02406,National Emergency (NEA & IEEPA),I hereby declare and reiterate a national emergency under the NEA and IEEPA to deal with that threat.,0
14195,2025-02408,Secretary of Homeland Security,The Secretary of Homeland Security shall determine the modifications necessary to the Harmonized Tariff Schedule of the United States (HTSUS) in order to effectuate the objectives of this order,0
14196,2025-02477,Secretary of the Treasury,"The Secretary of the Treasury and the Secretary of Commerce, in close coordination with the Assistant to the President for Economic Policy, shall develop a plan for the establishment of a sovereign wealth fund",0
14196,2025-02477,Secretary of Commerce,"The Secretary of the Treasury and the Secretary of Commerce, in close coordination with the Assistant to the President for Economic Policy, shall develop a plan for the establishment of a sovereign wealth fund",0
14196,2025-02477,Assistant to the President for Economic Policy,"The Secretary of the Treasury and the Secretary of Commerce, in close coordination with the Assistant to the President for Economic Policy, shall develop a plan for the establishment of a sovereign wealth fund",0
14197,2025-02478,International Emergency Economic Powers Act (IEEPA) – section 1702(a)(1)(B),I invoked my authority under section 1702(a)(1)(B) of IEEPA to impose ad valorem tariffs on articles that are products of Canada,0
14198,2025-02479,"President (under IEEPA, NEA, Trade Act, etc.)","the additional 25 percent ad valorem rate of duty shall be paused and will not take effect until March 4, 2025, at 12:01 a.m. eastern time",0
14198,2025-02479,President (amending EO 14194 of 1 Feb 2025),"are amended by striking the term “February 4, 2025,” where it appears in those sections and inserting in lieu thereof the term “March, 4, 2025.”",0
14198,2025-02479,President (withdrawing exceptions in EO 14194),"the exceptions set forth in section 2(a) of the Executive Order of February 1, 2025,",1
14199,2025-02504,Presidential constitutional and statutory authority,the authority vested in me as President by the Constitution and the laws of the United States of America,0
14200,2025-02512,International Emergency Economic Powers Act; National Emergencies Act; Trade Act of 1974; 31 U.S.C. §301,the following shall replace subsection (g) of section 2,0
14201,2025-02513,Secretary of Education,the Secretary of Education shall promptly: (i) ... continue to comply with the vacatur of the rule ... and take other appropriate action,0
14201,2025-02513,Department of Justice,"The Department of Justice shall provide all necessary resources, in accordance with law, to relevant agencies to ensure expeditious enforcement",0
14201,2025-02513,Secretary of State and Secretary of Homeland Security,"The Secretary of State and the Secretary of Homeland Security shall review and adjust, as needed, policies permitting admission to the United States of males seeking to participate in women's sports, and shall issue guidance",0
14201,2025-02513,Secretary of State,The Secretary of State shall use all appropriate and available measures to see that the International Olympic Committee amends the standards governing Olympic sporting events,0
14202,2025-02611,Attorney General,The Attorney General shall serve as Chair of the Task Force.,0
14202,2025-02611,Task Force Chair,The Task Force shall meet as required by the Chair and shall take appropriate action to:,0
14203,2025-02612,"IEEPA, NEA, INA §212(f), 31 U.S.C. §301","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), section 212(f) of the Immigration and Nationality Act of 1952 (8 U.S.C. 1182(f)), and section 301 of title 3, United States Code",0
14204,2025-02630,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
14205,2025-02635,"amends EO 13198, EO 13279, EO 13280, EO 13342, EO 13397",substituting ``White House Faith Office'' for ``White House Office of Faith-Based and Community Initiatives'' or ``White House OFBCI'' each time it appears in those orders,0
14206,2025-02636,does not impair existing agency authority,"Nothing in this order shall be construed to impair or otherwise affect: (i) the authority granted by law to an executive department, agency, or the head thereof;",0
14206,2025-02636,implementation subject to law and appropriations,This order shall be implemented consistent with applicable law and subject to the availability of appropriations.,0
14206,2025-02636,does not create enforceable rights or benefits,"This order is not intended to, and does not, create any right or benefit, substantive or procedural, enforceable at law or in equity by any party against the United States, its departments, agencies, or entities, its officers, employees, or agents, or any other person.",0
14207,2025-02734,revoked_prior_documents,"All prior Presidential or other executive branch documents establishing or requiring the existence of the Federal Executive Institute, including the Presidential Memorandum of May 9, 1968, regarding the Federal Executive Institute, and any applicable provisions of Executive Order 11348 of April 20, 1967 ... are hereby revoked",0
14208,2025-02735,revokes Executive Order 14057,"Executive Order 14057 of December 8, 2021 (Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability), which I revoked on January 20, 2025.",0
14209,2025-02736,Presidential Article II foreign‑policy authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14210,2025-02762,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14212,2025-02871,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14214,2025-02931,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14215,2025-03063,Constitution of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14216,2025-03064,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14217,2025-03133,revokes_or_amends,"Executive Order 13318 of November 21, 2003, is revoked",0
14217,2025-03133,revokes_or_amends,"Executive Order 13562 of December 27, 2010, is amended by:",0
14217,2025-03133,revokes_or_amends,"The Presidential Memorandum of November 13, 1961 (Need for Greater Coordination of Regional and Field Activities of the Government), is hereby revoked.",0
14219,2025-03138,Administrator of OIRA,The Administrator of OIRA shall consult with agency heads to develop a Unified Regulatory Agenda that seeks to rescind or modify these regulations,0
14219,2025-03138,Director of OMB,"The Director of the Office of Management and Budget shall issue implementation guidance, as appropriate",0
14220,2025-03439,Section 232 of the Trade Expansion Act of 1962,"including section 232 of the Trade Expansion Act of 1962, as amended (19 U.S.C. 1862) (Trade Expansion Act)",0
14221,2025-03440,Executive Order 13877,"Pursuant to Executive Order 13877 of June 24, 2019",0
14222,2025-03527,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14223,2025-03693,"Trade Expansion Act of 1962, 19 U.S.C. 1862",section 232 of the Trade Expansion Act,0
14224,2025-03694,the Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14225,2025-03695,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14226,2025-03728,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),is further amended by revising section 2(h) to read as follows:,0
14227,2025-03729,Amends EO 14194,"Executive Order 14194 of February 1, 2025 … is further amended by revising section 2(g) to read as follows:",0
14228,2025-03775,International Emergency Economic Powers Act (IEEPA),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
14228,2025-03775,National Emergencies Act,the National Emergencies Act (50 U.S.C. 1601 et seq.),0
14228,2025-03775,"section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)","section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)",0
14229,2025-03869,National Wildlife Refuge System Administration Act,pursuant to authority under the National Wildlife Refuge System Administration Act (16 U.S.C. 668dd-668ee),0
14230,2025-03989,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14231,2025-03990,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),0
14231,2025-03990,National Emergencies Act (50 U.S.C. 1601 et seq.),the National Emergencies Act (50 U.S.C. 1601 et seq.),0
14231,2025-03990,"Trade Act of 1974, section 604 (19 U.S.C. 2483)","section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)",0
14231,2025-03990,"Title 3, United States Code, section 301","section 301 of title 3, United States Code",0
14232,2025-03991,International Emergency Economic Powers Act; National Emergencies Act; Trade Act of 1974; Title 3 U.S.C.,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code",0
14235,2025-04103,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14236,2025-04866,Constitution and U.S. law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14237,2025-04867,Constitution of the United States; laws of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14238,2025-04868,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered",0
14239,2025-04973,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14240,2025-05197,40 U.S.C. §101; 40 U.S.C. §501,"pursuant to 40 U.S.C. 101, 40 U.S.C. 501, or other relevant authorities",0
14240,2025-05197,40 U.S.C. §11302(e),pursuant to the authority in 40 U.S.C. 11302(e),0
14241,2025-05212,EO 14156 (National Energy Emergency declaration),"pursuant to Executive Order 14156 of January 20, 2025 (Declaring a National Energy Emergency)",0
14242,2025-05213,the Constitution,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14243,2025-05214,Executive Order 14192,Regulatory modifications pursuant to this order are exempt from Executive Order 14192.,0
14245,2025-05440,"International Emergency Economic Powers Act, National Emergencies Act, and 31 U.S.C. §301","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
14247,2025-05522,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14248,2025-05523,President,It is the policy of my Administration to enforce Federal law and to protect the integrity of our election process.,0
14249,2025-05524,Secretary of the Treasury,"The Secretary of the Treasury is directed to minimize administrative barriers to accessing and using data to prevent fraud and improper payments by exercising the authority in 31 U.S.C. 3351 et seq. to waive the requirements of 5 U.S.C. 552(o), in consultation with the OMB Director, in any case or class of cases for computer matching activities, to the extent permissible by law.",0
14249,2025-05524,Heads of agencies with disbursing authority under 31 U.S.C. 3321(c),"The heads of agencies with disbursing authority under 31 U.S.C. 3321(c), including the Secretary of Defense, the Secretary of Homeland Security, and the Attorney General ... will work with the Secretary of the Treasury to delegate the performance of their disbursing activities, other than with respect to classified payments, to the Department of the Treasury's Chief Disbursing Officer",0
14250,2025-05845,Presidential authority under the U.S. Constitution and federal law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14253,2025-05838,U.S. Constitution,By the authority vested in me as President by the Constitution,0
14253,2025-05838,43 U.S.C. 1451 et seq.; 54 U.S.C. 100101 et seq.,"consistent with 43 U.S.C. 1451 et seq., 54 U.S.C. 100101 et seq.",0
14254,2025-05906,Better Online Ticket Sales Act (15 U.S.C. § 45c),"the Better Online Tickets Sales Act, 15 U.S.C. 45c",0
14254,2025-05906,Internal Revenue Code,the Internal Revenue Code,0
14255,2025-05908,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14256,2025-06027,International Emergency Economic Powers Act (IEEPA),by the authority vested in me as President,1
14256,2025-06027,"Trade Act of 1974, §604","section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)",0
14257,2025-06063,International Emergency Economic Powers Act (IEEPA),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.)(IEEPA),0
14257,2025-06063,National Emergencies Act (NEA),the National Emergencies Act (50 U.S.C. 1601 et seq.)(NEA),0
14257,2025-06063,"section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)","section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)",0
14257,2025-06063,"section 301 of title 3, United States Code","section 301 of title 3, United States Code",0
14259,2025-06378,"IEEPA, National Emergencies Act, Trade Act of 1974, Title 3","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483), and section 301 of title 3, United States Code",0
14260,2025-06379,stop enforcement of identified state laws,The Attorney General shall expeditiously take all appropriate action to stop the enforcement of State laws and continuation of civil actions identified in subsection (a) of this section,0
14261,2025-06380,National Energy Dominance Council (NEDC) Chair,The Chair of the National Energy Dominance Council (NEDC) shall designate coal as a ``mineral'' as defined in section 2 of Executive Order 14241,0
14261,2025-06380,Secretary of the Interior under the Mineral Leasing Acts,"The Secretary of the Interior, pursuant to the authorities in the Mineral Leasing Act of 1920, as amended and supplemented (30 U.S.C. 181 et seq.), the Mineral Leasing Act for Acquired Lands of 1947, as amended (30 U.S.C. 351‑359), and the Multiple Mineral Development Act of 1954 (30 U.S.C. 521‑531 et seq.)",0
14262,2025-06381,Constitution of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14262,2025-06381,Federal Power Act,section 202(c) of the Federal Power Act,0
14263,2025-06458,Executive Order 14230,"Nothing in this order shall be construed to limit the action authorized by section 4 of Executive Order 14230 of March 6, 2025",0
14264,2025-06459,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14266,2025-06462,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
14266,2025-06462,National Emergencies Act (50 U.S.C. 1601 et seq.),National Emergencies Act (50 U.S.C. 1601 et seq.),0
14266,2025-06462,"section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)","section 604 of the Trade Act of 1974, as amended (19 U.S.C. 2483)",0
14266,2025-06462,"section 301 of title 3, United States Code","section 301 of title 3, United States Code",0
14267,2025-06463,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14268,2025-06464,National Security Presidential Memorandum 10 (April 19 2018),"Implement National Security Presidential Memorandum 10 of April 19, 2018 (United States Conventional Arms Transfer Policy), or any successor policy directive.",0
14269,2025-06465,Presidential constitutional and statutory authority,the authority vested in me as President by the Constitution and the laws of the United States of America,0
14270,2025-06466,delegates_authority,"This order directs certain agencies to incorporate a sunset provision into their regulations governing energy production to the extent permitted by law, thus compelling those agencies to reexamine their regulations periodically to ensure that those rules serve the public good.",0
14271,2025-06835,Approval authority (senior procurement executive),"the senior procurement executive, designated pursuant to 41 U.S.C. 1702(c), who is responsible for management direction of the acquisition system of an agency",0
14271,2025-06835,OMB Director,the Director of the Office of Management and Budget (OMB),0
14271,2025-06835,Administrator for Federal Procurement Policy,the Administrator for Federal Procurement Policy,0
