eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
14284,2025-07469,Sections 5(b)‑(d) of the order and Civil Service Rule 11.5 become effective 90 days after the order date.,2025-07-23,All affected agencies,"This order is effective immediately, except that the requirements of sections 5(b) through 5(d) of this order and of Civil Service Rule 11.5 shall become effective 90 days from the date of this order.",0
14285,2025-07470,All tasks listed in Section 3 must be completed within 60 days of April 24 2025,Within 60 days of the date of this order,All agencies listed above,Within 60 days of the date of this order:,0
14286,2025-07786,Rescind the guidance document and issue new guidance (Sec. 3(a)).,2025‑06‑27,Secretary of Transportation,within 60 days of the date of this order,0
14286,2025-07786,Identify and begin actions to improve truck‑driver working conditions (Sec. 5).,2025‑06‑27,Secretary of Transportation,"Within 60 days of the date of this order, the Secretary of Transportation shall identify and begin carrying out additional administrative, regulatory, or enforcement actions to improve the working conditions of America's truck drivers.",0
14287,2025-07789,Publish list of sanctuary jurisdictions,Within 30 days of the date of this order,Attorney General and Secretary of Homeland Security,"Within 30 days of the date of this order, the Attorney General, in coordination with the Secretary of Homeland Security, shall publish a list of States and local jurisdictions that obstruct the enforcement of Federal immigration laws",0
14287,2025-07789,Notify each sanctuary jurisdiction of its defiance,Immediately following each publication,Attorney General and Secretary of Homeland Security,Immediately following each publication ... the Attorney General and the Secretary of Homeland Security shall notify each sanctuary jurisdiction regarding its defiance of Federal immigration law enforcement and any potential violations of Federal criminal law,0
14288,2025-07790,within 60 days of the date of this order,,Attorney General,"Within 60 days of the date of this order, the Attorney General shall review all ongoing Federal consent decrees, out-of-court agreements, and post‑judgment orders",1
14288,2025-07790,within 90 days of the date of this order,,Attorney General and Secretary of Defense,"Within 90 days of the date of this order, the Attorney General and the Secretary of Defense, in consultation with the Secretary of Homeland Security and the heads of agencies as appropriate, shall increase the provision of excess military and national security assets in local jurisdictions to assist State and local law enforcement.",0
14288,2025-07790,within 90 days of the date of this order,,Secretary of Defense,"Within 90 days of the date of this order, the Secretary of Defense, in coordination with the Attorney General, shall determine how military and national security assets, training, non‑lethal capabilities, and personnel can most effectively be utilized to prevent crime.",0
14289,2025-07835,"Any changes to the HTSUS necessary to comply with this order shall be made not later than 12:01 a.m. eastern daylight time on May 16, 2025.",2025-05-16T12:01:00-04:00,Secretary of Homeland Security,"Any changes to the HTSUS necessary to comply with this order shall be made not later than 12:01 a.m. eastern daylight time on May 16, 2025.",0
14290,2025-08133,Revise the 2025 Television Community Service Grants General Provisions and Eligibility Criteria to prohibit funding NPR and PBS,2025-06-30,Corporation for Public Broadcasting (CPB) Board,"the CPB Board shall, before June 30, 2025, revise the 2025 Television Community Service Grants General Provisions",0
14291,2025-08134,Commission members’ term ends,2026-07-04,Commission,"Members appointed to the Commission shall serve one term ending on July 4, 2026, which marks the 250th anniversary of American Independence.",0
14291,2025-08134,Commission termination (unless extended),2026-07-04,President,"The Commission shall terminate on July 4, 2026, which marks the 250th anniversary of American Independence, unless extended by the President.",0
14292,2025-08266,revise or replace the 2024 Dual‑Use Research of Concern policy,120 days after order date,Office of Science and Technology Policy (OSTP),"Within 120 days of the date of this order, the Director of OSTP ... shall revise or replace the 2024 ``United States Government Policy for Oversight of Dual Use Research of Concern and Pathogens with Enhanced Pandemic Potential''",0
14292,2025-08266,revise or replace the 2024 Nucleic Acid Synthesis Screening Framework,90 days after order date,Office of Science and Technology Policy (OSTP),"Within 90 days of the date of this order, the Director of OSTP ... shall revise or replace the 2024 ``Framework for Nucleic Acid Synthesis Screening''",0
14292,2025-08266,develop and implement a strategy for non‑federally funded dangerous gain‑of‑function research,180 days after order date,Office of Science and Technology Policy (OSTP),"Within 180 days of the date of this order, the Director of OSTP ... shall develop and implement a strategy to govern, limit, and track dangerous gain‑of‑function research ... that occurs without Federal funding",0
14293,2025-08267,180 days from order date,,Secretary of Health and Human Services / FDA Commissioner,"Within 180 days of the date of this order, the Secretary of Health and Human Services, through the Commissioner of Food and Drugs (FDA Commissioner), shall review existing regulations and guidance",0
14293,2025-08267,90 days from order date,,FDA Commissioner,"Within 90 days of the date of this order, the FDA Commissioner shall develop and advance improvements to the risk‑based inspection regime",0
14293,2025-08267,180 days from order date,,EPA Administrator,"Within 180 days of the date of this order, the Administrator of the Environmental Protection Agency (EPA) shall take action to update regulations and guidance",0
14293,2025-08267,180 days from order date,,Secretary of the Army / Assistant Secretary for Civil Works,"Within 180 days of the date of this order, the Secretary of the Army, acting through the Assistant Secretary of the Army for Civil Works, shall review the nationwide permits …",0
14294,2025-08681,Within 365 days of the order’s date (May 9 2025).,May 9 2026,Agency heads,"Within 365 days of the date of this order, the head of each agency ... shall provide ... a report containing:",0
14294,2025-08681,Within 45 days of the order’s date (May 9 2025).,June 23 2025,Agency heads,"Within 45 days of the date of this order, and in consultation with the Attorney General, each agency should publish guidance ...",0
14294,2025-08681,Within 30 days after the agency’s Section 4(a) report is submitted.,30 days after each agency’s Section 4(a) report deadline,Agency heads,"Within 30 days of the submission of the report described in section 4(a) of this order, the head of each agency ... shall submit a report to the Director of OMB ...",0
14295,2025-08682,within 15 days of the date of this order,,Archivist (Office of the Federal Register),"Within 15 days of the date of this order, the Archivist, acting through the Office of the Federal Register, shall submit a report to the Director of the Office of Management and Budget (OMB) reflecting average publication times for different categories of documents.",0
14295,2025-08682,within 45 days of the date of this order,,Archivist (Office of the Federal Register),"Within 45 days of the date of this order, the Archivist, acting through the Office of the Federal Register, shall review the fee schedules for publication in the Federal Register and, working with the Director of the Government Publishing Office, take steps to ensure that fees are based on the actual costs of",1
14295,2025-08682,within 45 days of the date of this order (same subsection),,Archivist (Office of the Federal Register),shall promptly file a report with the Director of OMB calculating the percentage difference in fees between any proposed new fee schedule and the prior one.,0
14295,2025-08682,"No later than August 22, 2025",2025-08-22,Archivist (Office of the Federal Register),"No later than August 22, 2025, the Archivist, acting through the Office of the Federal Register, shall submit a second report to the Director of OMB reflecting average publication times between July 15, 2025, and August 15, 2025, for the same categories of documents on which the Office of the Federal Register reported under subsection (b) of this section.",0
14296,2025-08683,Action plan for the National Center for Warrior Independence,2025‑09‑06,Secretary of Veterans Affairs,"within 120 days of the date of this order, present an action plan to the President",0
14296,2025-08683,Report on reducing VA appointment wait times,2025‑07‑08,Secretary of Veterans Affairs,"within 60 days of the date of this order, submitting a report to the President, through the Assistant to the President for Domestic Policy, with a plan to reduce wait times for Veterans Health Administration appointments",0
14296,2025-08683,Feasibility study for a full‑service medical center in New Hampshire,2025‑06‑08,Secretary of Veterans Affairs,"within 30 days of the date of this order, directing a feasibility study at the Manchester VA Medical Center",0
14296,2025-08683,Action plan for New Hampshire VA medical center,2025‑11‑05,Secretary of Veterans Affairs,"within 180 days of this order, submitting to the President … an action plan to expand services to support a full‑service medical center in New Hampshire",0
14297,2025-08876,30 days after the order’s date (by 11 June 2025),2025-06-11,Secretary of Health and Human Services,"Within 30 days of the date of this order, the Secretary shall … communicate most‑favored‑nation price targets …",0
14298,2025-09297,Effective date for suspension of duties and tariff modifications,2025-05-14,All agencies,"Effective with respect to goods entered for consumption, or withdrawn from warehouse for consumption, on or after 12:01 a.m. eastern daylight time on May 14, 2025",0
14298,2025-09297,Retention of per‑postal‑item duty of $100 in effect unless later modified,2025-05-02,All agencies,"retain in effect the per postal item containing goods duty of 100 dollars ... that has been in effect since 12:01 a.m. eastern daylight time on May 2, 2025",0
14298,2025-09297,Contemplated increase in per‑postal‑item duty (subject to later modification),2025-06-01,All agencies,"notwithstanding the increase contemplated effective June 1, 2025, pursuant to Executive Order 14256",0
14299,2025-09796,"September 30, 2028",2028-09-30,Secretary of Defense (through the Secretary of the Army),"shall commence the operation of a nuclear reactor, regulated by the United States Army, at a domestic military base or installation no later than September 30, 2028.",0
14299,2025-09796,within 240 days of the date of this order,,Secretary of Defense,"Within 240 days of the date of this order, the Secretary of Defense shall, in coordination with the Secretary of Energy, the Director of the Office of Management and Budget (OMB), and the Secretaries of the military departments, prepare and submit ... recommendations ...",0
14299,2025-09796,within 90 days of the date of this order,,Secretary of Energy,"Within 90 days of the date of this order, the Secretary of Energy shall designate one or more sites owned or controlled by the Department of Energy within the United States, including national laboratories, for the use and deployment of advanced nuclear reactor technologies.",0
14299,2025-09796,no later than 30 months from the date of this order,,Secretary of Energy,with a goal of operating an advanced nuclear reactor at the first site no later than 30 months from the date of this order.,0
14299,2025-09796,within 90 days of the date of this order,,Secretary of Energy,"Within 90 days of the date of this order, the Secretary of Energy shall identify all useful uranium and plutonium material within the Department of Energy's inventories that may be recycled or processed into nuclear fuel for reactors in the United States.",0
14299,2025-09796,within 30 days of receipt of a complete application,,Secretary of Energy,shall approve or deny each technology transfer export authorization request within 30 days of receipt of a complete application and completion by the Department of Energy of the required accompanying analysis,0
14300,2025-09798,Notice(s) of proposed rulemaking must be issued,2025‑02‑23,Nuclear Regulatory Commission,within 9 months of the date of this order,0
14300,2025-09798,Final rules and guidance must be issued,2026‑11‑23,Nuclear Regulatory Commission,within 18 months of the date of this order,0
14300,2025-09798,Maximum time for NRC to issue a final decision on a new‑reactor license application,,Nuclear Regulatory Commission,no more than 18 months for final decision on an application to construct and operate a new reactor,0
14300,2025-09798,Maximum time for NRC to issue a final decision on an existing‑reactor license renewal,,Nuclear Regulatory Commission,no more than 1 year for final decision on an application to continue operating an existing reactor,0
14301,2025-09799,Within 60 days of the order date,,Secretary of Energy,"Within 60 days of the date of this order, the Secretary shall issue guidance regarding what counts as a qualified test",1
14301,2025-09799,Within 90 days of the order date,,Secretary of Energy,"Within 90 days of the date of this order, the Secretary shall take appropriate action to revise the regulations, guidance, and procedures ...",0
14301,2025-09799,Criticality of each pilot reactor by 4 July 2026,2026-07-04,Secretary of Energy,"The Secretary shall approve at least three reactors ... with the goal of achieving criticality in each of the three reactors by July 4, 2026.",0
14301,2025-09799,NEPA rule reform no later than 30 June 2025,2025-06-30,Secretary of Energy,"take action to reform the Department's rules governing compliance with the National Environmental Policy Act (NEPA) no later than June 30,",1
14302,2025-09801,within 240 days,2026-01-18,Secretary of Energy,Within 240 days of the date of this order,0
14302,2025-09801,within 120 days,2025-09-20,Secretary of Energy,Within 120 days of the date of this order,0
14302,2025-09801,within 90 days,2025-08-21,Secretary of Energy,Within 90 days of the date of this order,0
14302,2025-09801,within 30 days,2025-06-22,Secretary of Energy,Within 30 days of the date of this order,0
14302,2025-09801,within 180 days,2025-11-19,Secretary of Energy,Within 180 days of the date of this order,0
14302,2025-09801,within 120 days,2025-09-20,Secretary of Labor and Secretary of Education,Within 120 days of the date of this order,0
14303,2025-09802,OSTP Director must issue Gold Standard Science guidance,30 days after 2025‑05‑23,OSTP Director,"Within 30 days of the date of this order, the Director of the Office of Science and Technology Policy (OSTP Director) shall, in consultation with the heads of relevant agencies, issue guidance for agencies on implementation of “Gold Standard Science” in the conduct and management of their respective scientific activities.",0
14303,2025-09802,Agency heads must report implementation actions,60 days after OSTP guidance is published,Agency heads,"Within 60 days of the publication of the guidance prescribed in section 3(a), agency heads shall report to the OSTP Director on the actions taken to implement Gold Standard Science at their agency.",0
14303,2025-09802,Agency heads and employees must comply with new scientific‑data rules,30 days after 2025‑05‑23,Agency heads and employees,"No later than 30 days after the date of this order, agency heads and employees shall adhere to the following rules governing the use, interpretation, and communication of scientific data, unless otherwise provided by law:",0
14304,2025-10800,180 days from the order’s date (June 6 2025) for FAA to repeal 14 CFR 91.817,2025‑12‑03,FAA Administrator,within 180 days of the date of this order,0
14304,2025-10800,18 months from the order’s date for FAA to issue the NPRM,2026‑12‑06,FAA Administrator,Within 18 months of the date of this order,0
14304,2025-10800,24 months from the order’s date for FAA to issue the final rule,2027‑06‑06,FAA Administrator,within 24 months of the date of this order,0
14305,2025-10803,180 days from order date,2025-11-02,Federal Aviation Administration,"within 180 days of the date of this order, make freely available online Notices to Airmen (NOTAMs) and Temporary Flight Restrictions (TFRs) in an open format",0
14305,2025-10803,30 days from order date,2025-07-06,Attorney General; Secretary of Homeland Security,"within 30 days of the date of this order, ... the Attorney General and the Secretary of Homeland Security shall ensure that their respective departments' grant programs permit ... agencies to receive grants",0
14305,2025-10803,30 days from order date,2025-07-06,Attorney General; Secretary of Transportation; Secretary of Homeland Security; FCC Chair,"within 30 days of the date of this order, the Attorney General, the Secretary of Transportation, the Secretary of Homeland Security, and the Chairman of the Federal Communications Commission shall revise the August 2020 ""Advisory",1
14305,2025-10803,60 days from order date,2025-08-05,Federal Aviation Administration,"within 60 days of the date of this order, the Administrator of the FAA shall provide ... automated real‑time access to personal identifying information ...",0
14305,2025-10803,60 days from order date,2025-08-05,Department of Homeland Security; Federal Aviation Administration,"within 60 days of the date of this order, the Secretary of Homeland Security and the Administrator of the FAA ... shall publish guidance to aid private critical infrastructure owners or operators",0
14305,2025-10803,90 days from order date,2025-09-04,Department of Homeland Security; Attorney General,"within 90 days of the date of this order, the Secretary of Homeland Security and the Attorney General ... shall submit a recommendation to the President ...",0
14305,2025-10803,30 days from order date,2025-07-06,Attorney General; Secretary of Homeland Security,"within 30 days of the date of this order, the Attorney General and the Secretary of Homeland Security shall explore integrating counter‑UAS operational responses as part of Joint Terrorism Task Forces",0
14306,2025-10804,"By August 1, 2025",2025-08-01,"Secretary of Commerce, acting through the Director of NIST","By August 1, 2025, the Secretary of Commerce, acting through the Director of NIST, shall establish a consortium with industry at the National Cybersecurity Center of Excellence to develop guidance",0
14306,2025-10804,"By September 2, 2025",2025-09-02,"Secretary of Commerce, acting through the Director of NIST","By September 2, 2025, the Secretary of Commerce, acting through the Director of NIST, shall update NIST Special Publication 800-53 ... to provide guidance on how to securely and reliably deploy patches and updates",0
14306,2025-10804,"By December 1, 2025",2025-12-01,"Secretary of Commerce, acting through the Director of NIST","By December 1, 2025, the Secretary of Commerce, acting through the Director of NIST,",1
14306,2025-10804,"By December 1, 2025",2025-12-01,"Secretary of Homeland Security, acting through the Director of CISA","By December 1, 2025, the Secretary of Homeland Security, acting through the Director of the Cybersecurity and Infrastructure Security Agency (CISA), ... shall release and thereafter regularly update a list of product categories in which products that support post‑quantum cryptography (PQC) are widely available",0
14306,2025-10804,"Not later than January 2, 2030",2030-01-02,Director of the National Security Agency and Director of OMB,"By December 1, 2025, ... shall each issue requirements for agencies to support ... not later than January 2, 2030, Transport Layer Security protocol version 1.3 or a successor version",0
14306,2025-10804,"By November 1, 2025",2025-11-01,"Secretary of Commerce (via NIST), Secretary of Energy, Secretary of Homeland Security (Under Secretary for Science and Technology), Director of NSF","By November 1, 2025, the Secretary of Commerce, acting through the Director of NIST; the Secretary of Energy; the Secretary of Homeland Security, acting through the Under Secretary for Science and Technology; and the Director of the National Science Foundation shall ensure that existing datasets for cyber defense research have been made accessible to the broader academic research community",0
14306,2025-10804,"By November 1, 2025",2025-11-01,"Secretary of Defense, Secretary of Homeland Security, Director of National Intelligence","By November 1, 2025, the Secretary of Defense, the Secretary of Homeland Security, and the Director of National Intelligence, ... shall incorporate management of AI software vulnerabilities and compromises into their respective agencies' existing processes",0
14306,2025-10804,Within 3 years of the date of this order,2028-06-06,Director of OMB,"Within 3 years of the date of this order, the Director of OMB shall issue guidance, including any necessary revision to OMB Circular A-130, to address critical risks and adapt modern practices and architectures across Federal information systems and networks",0
14306,2025-10804,Within 1 year of the date of this order,2026-06-06,"Secretary of Commerce (via NIST), Secretary of Homeland Security (via CISA), Director of OMB","Within 1 year of the date of this order, the Secretary of Commerce, acting through the Director of NIST; the Secretary of Homeland Security, acting through the Director of CISA; and the Director of OMB shall establish a pilot program of a rules‑as‑code approach for machine‑readable versions of policy and guidance",0
14306,2025-10804,"By January 4, 2027",2027-01-04,Agency members of the FAR Council,"Within 1 year of the date of this order, agency members of the FAR Council shall ... amend the FAR to adopt requirements for agencies to, by January 4, 2027, require vendors ... to carry United States Cyber Trust Mark labeling for those products",0
14306,2025-10804,Within 120 days of publishing the preliminary update,,"Secretary of Commerce, acting through the Director of NIST","Within 120 days of publishing the preliminary update, the Secretary of Commerce, acting through the Director of NIST, shall publish a final version of the updated SSDF",0
14307,2025-10814,within 30 days,2025-07-06,Secretary of Transportation (FAA),"Within 30 days of the date of this order, the Secretary of Transportation, acting through the Administrator of the FAA, shall",1
14307,2025-10814,within 240 days,2026-02-01,Secretary of Transportation (FAA),"Within 240 days of the date of this order, the Secretary of Transportation, acting through the Administrator of the FAA, shall publish an updated roadmap for the integration of civil UAS",0
14307,2025-10814,within 30 days,2025-07-06,Secretary of Transportation (FAA),"Within 30 days of the date of this order, the Secretary of Transportation, acting through the Administrator of the FAA, shall establish clear metrics for assessing the performance and safety of BVLOS operations",0
14307,2025-10814,within 180 days,2025-12-03,Secretary of Transportation (FAA),"Within 180 days of the date of this order,",1
14307,2025-10814,within 120 days,2025-10-04,Secretary of Transportation (FAA),"Within 120 days of the date of this order, the Secretary of Transportation, acting through the Administrator of the FAA, shall initiate the deployment of artificial intelligence (AI) tools to assist in",1
14307,2025-10814,within 30 days,2025-07-06,Federal Acquisition Security Council,"Within 30 days of the date of this order, the Federal Acquisition Security Council shall publish a Covered Foreign Entity List",0
14307,2025-10814,within 90 days,2025-09-04,Secretary of Commerce,"Within 90 days of the date of this order, the Secretary of Commerce shall take actions ... to secure the United States drone supply chain",0
14307,2025-10814,within 90 days,2025-09-04,Secretary of Commerce,"Within 90 days of the date of this order, the Secretary of",1
14307,2025-10814,within 90 days,2025-09-04,Secretary of Defense,"Within 90 days of the date of this order, the Secretary of Defense shall",1
14307,2025-10814,within 90 days,2025-09-04,Secretary of Defense,"Within 90 days of the date of this order, the Secretary of Defense shall coordinate with the Secretary of Transportation ... to streamline the approval processes to expand access to airspace for conducting UAS training",0
14307,2025-10814,within 90 days,2025-09-04,Secretary of Defense,"Within 90 days of the date of this order, the Secretary of Defense shall",1
14307,2025-10814,within 90 days,2025-09-04,Secretary of Defense,"Within 90 days of the date of this order, the Secretary of Defense shall task the Secretary of each military department ... and shall submit a report to the President through the APNSA",0
14307,2025-10814,within 90 days,2025-09-04,Secretary of Transportation (FAA),"Within 90 days of the date of this order, the Secretary of Transportation, acting through the Administrator of the FAA, shall issue a public request for proposals to State, local, tribal, and territorial governments",0
14307,2025-10814,within 180 days of the request,,Secretary of Transportation (FAA),"Within 180 days of the request, the Secretary of Transportation, acting through the Administrator of the FAA, shall select at least five pilot projects",0
14307,2025-10814,within 180 days after pilot selection,,Secretary of Transportation,"Within 180 days after the selection of pilot program participants, the Secretary of Transportation shall submit an initial implementation report to the President through the Director of OSTP",0
14308,2025-11358,Consolidate wildland fire programs (Sec. 2) and expand partnerships (Sec. 3(a)(i)),90 days from June 12 2025,Secretary of the Interior and the Secretary of Agriculture,Within 90 days of the date of this order,0
14308,2025-11358,Develop technology roadmap (Sec. 3(b)) and develop performance metrics (Sec. 5(b)(ii)),180 days from June 12 2025,Secretary of the Interior and the Secretary of Agriculture,Within 180 days of the date of this order,0
14308,2025-11358,"Identify, declassify, and release historical satellite datasets (Sec. 5(a))",120 days from June 12 2025,Secretary of Defense,Within 120 days of the date of this order,0
14308,2025-11358,Evaluate and prioritize sale of excess aircraft/parts (Sec. 5(c)),210 days from June 12 2025,Secretary of Defense,Within 210 days of the date of this order,0
14309,2025-11473,effective 7 days after publication of the order,,,The quota shall be effective 7 days after the publication of this order in the Federal Register.,0
14309,2025-11473,publish HTSUS notice within 7 days of order publication,,Secretary of Commerce,"Within 7 days of the date of publication of this order in the Federal Register, the Secretary of Commerce ... shall publish a notice in the Federal Register modifying the HTSUS consistent with this section, if necessary.",0
14309,2025-11473,publish HTSUS notice for aerospace provisions within 7 days of order publication,,Secretary of Commerce,"Within 7 days of the date of publication of this order in the Federal Register, the Secretary, in consultation with ITC and CBP, shall publish a notice in the Federal Register modifying the HTSUS consistent with this section, if necessary.",0
14310,2025-11682,extension of enforcement delay ends,2025-09-17,,"further extended until September 17, 2025.",0
14312,2025-12506,Briefing to congressional committees within 30 days of the determination,,Secretary of State,shall provide the briefing to the appropriate congressional committees required by section 7431(b) of the Caesar Act within 30 days of such determination,0
14312,2025-12506,Waiver becomes effective 20 days after transmission,,,This waiver shall be effective 20 days after it has been so transmitted,0
14315,2025-12961,45 days after the One Big Beautiful Bill Act is enacted for Treasury and Interior actions,,Secretary of the Treasury / Secretary of the Interior,Within 45 days following enactment of the One Big Beautiful Bill Act,0
14315,2025-12961,45 days after the order’s effective date for the required report,,Secretary of the Treasury and Secretary of the Interior,Within 45 days of the date of this order,0
14316,2025-12962,Effective period for HTSUS heading suspensions,2025-07-09T12:01:00-04:00,,"effective ... on or after 12:01 a.m. eastern daylight time on July 9, 2025, ... until 12:01 a.m. eastern daylight time on August 1, 2025",0
14316,2025-12962,Expiration of HTSUS heading suspensions,2025-08-01T12:01:00-04:00,,"effective ... on or after 12:01 a.m. eastern daylight time on July 9, 2025, ... until 12:01 a.m. eastern daylight time on August 1, 2025",0
14316,2025-12962,Extended suspension of additional ad valorem duties from EO 14266,2025-08-01T12:01:00-04:00,,"extend the suspension effectuated by Executive Order 14266 until 12:01 a.m. eastern daylight time on August 1, 2025",0
14318,2025-14212,10 days after order issuance,,All relevant agencies,"Within 10 days of the date of this order, each relevant agency shall identify to the Council on Environmental Quality any categorical exclusions already established or adopted by such agency pursuant to the National Environmental Policy Act (NEPA)",0
14318,2025-14212,180 days after order issuance,,EPA Administrator,"Within 180 days of the date of this order, the Administrator of the Environmental Protection Agency shall develop guidance to help expedite environmental reviews for qualified reuse and assist State governments and private parties to return such Brownfield Sites and Superfund Sites to productive use as expeditiously as possible",0
14318,2025-14212,180 days after order issuance,,Secretary of the Army (Assistant Secretary for Civil Works),"Within 180 days of the date of this order, the Secretary of the Army, acting through the Assistant Secretary of the Army for Civil Works, shall review the nationwide permits issued under section 404 of the Clean Water Act of 1972 (33 U.S.C. 1344) and section 10 of the Rivers and Harbors Appropriation Act of 1899 (33 U.S.C. 403) to determine whether an activity‑specific nationwide permit is needed",0
14318,2025-14212,30 days after a project is identified to FPISC,,FPISC Executive Director,"The Executive Director (Executive Director) of the Federal Permitting Improvement Steering Council (FPISC) may, within 30 days of the date that a project is identified to FPISC by a relevant agency, designate a Qualifying Project as a transparency project pursuant to",1
14318,2025-14212,30 days after agency notification,,FPISC Executive Director,"Within 30 days of receiving such agency notification, the Executive Director may publish Qualifying Projects on the Permitting Dashboard established under section 41003(b) of FAST‑41, including schedules for expedited review",0
14319,2025-14217,Within 120 days of the date of this order,2025-11-20,Director of the Office of Management and Budget (OMB),"Within 120 days of the date of this order, the Director of the Office of Management and Budget (OMB),",0
14319,2025-14217,within 90 days of the OMB guidance issued under subsection (a) of this section,,Agency heads,within 90 days of the OMB guidance issued under subsection (a) of this section,0
14320,2025-14218,Establish and implement the American AI Exports Program,90 days after July 23 2025,Secretary of Commerce,"Within 90 days of the date of this order, the Secretary of Commerce shall ... establish and implement the American AI Exports Program",0
14320,2025-14218,Submit proposals in response to the public call,90 days after the public call for proposals is issued,Industry‑led consortia (proposers),The Department of Commerce shall require proposals to be submitted no later than 90 days after the public call for proposals is issued,0
14322,2025-14392,30 days from the order’s date,2025-08-23,"Secretary of Education (in consultation with AG, HHS Secretary, FTC Chairman)","Within 30 days of the date of this order, the Secretary of Education … shall develop a plan",0
14322,2025-14392,60 days from the order’s date,2025-09-22,Attorney General and FTC Chairman,"Within 60 days of the date of this order,",1
14323,2025-14896,"Effective date – 12:01 a.m. EDT, 7 days after July 30 2025 (August 6 2025)",2025-08-06T05:01:00Z,,"effective with respect to goods entered for consumption, or withdrawn from warehouse for consumption, on or after 12:01 a.m. eastern daylight time 7 days after the date of this order",0
14323,2025-14896,Cut‑off date for exemption – 12:01 a.m. EDT on October 5 2025,2025-10-05T05:01:00Z,,"are entered for consumption, or withdrawn from warehouse for consumption before 12:01 a.m. eastern daylight time on October 5, 2025",0
14325,2025-14999,"effective on August 1, 2025",2025-08-01,,"with respect to goods entered for consumption, ... on or after 12:01 a.m. eastern daylight time on August 1, 2025",0
14325,2025-14999,publish every 6 months,,Secretary of Commerce and Secretary of Homeland Security,shall publish every 6 months a list of countries and specific facilities used in circumvention schemes,0
14326,2025-15010,effective 7 days after the order date,,,These modifications shall be effective … on or after 12:01 a.m. eastern daylight time 7 days after the date of this order,0
14326,2025-15010,cut‑off date for exemption,2025‑10‑05,,"goods … entered for consumption … before 12:01 a.m. eastern daylight time on October 5, 2025, shall not be subject to such additional duty",0
14326,2025-15010,periodic publication every six months,,,shall publish every 6 months a list of countries and specific facilities used in circumvention schemes,0
14327,2025-15011,2 years from the date of this order,,President,"the Council shall terminate 2 years from the date of this order, unless extended by the President.",0
14328,2025-15193,Report submission deadline for agency heads,2025-10-01,Agency heads serving as Task Force members,"These reports shall be submitted to the Executive Director of the Task Force no later than October 1, 2025.",0
14329,2025-15267,Duty becomes effective 21 days after the order date (approximately August 27 2025),"21 days after August 6, 2025",,"effective with respect to goods entered for consumption, or withdrawn from warehouse for consumption, on or after 12:01 a.m. eastern daylight time 21 days after the date of this order",0
14329,2025-15267,Exemption period ends at 12:01 a.m. EDT on September 17 2025,2025-09-17T00:01:00-04:00,,"are entered for consumption, or withdrawn from warehouse for consumption, before 12:01 a.m. eastern daylight time on September 17, 2025.",0
14330,2025-15340,Within 180 days of the date of this order,,Secretary of Labor,"Within 180 days of the date of this order, the Secretary of Labor (Secretary) shall reexamine the Department of Labor's past and present guidance …",0
14330,2025-15340,Within 180 days of the date of this order,,Secretary of Labor,"Within 180 days of the date of this order, the Secretary shall further, as the Secretary deems appropriate …",0
14331,2025-15341,within 180 days of the date of this order,,Federal banking regulators,"Within 180 days of the date of this order, each appropriate Federal banking regulator shall, to the greatest extent permitted by law, remove the use of reputation risk",0
14331,2025-15341,within 60 days of the date of this order,,Small Business Administration (SBA),"The SBA shall, within 60 days of the date of this order, give notice to all financial institutions",0
14331,2025-15341,within 120 days of the date of this order,,Financial institutions under SBA jurisdiction,"within 120 days of the date of this order, makes reasonable efforts to identify and reinstate any previous clients",0
14331,2025-15341,within 180 days of the date of this order,,Secretary of the Treasury,"Within 180 days of the date of this order, the Secretary of the Treasury, in consultation with the Assistant to the President for Economic Policy, shall develop a comprehensive strategy",0
14331,2025-15341,within 120 days of the date of this order,,Federal banking regulators,"Within 120 days of the date of this order, each Federal banking regulator shall conduct a review",0
14331,2025-15341,within 180 days of the date of this order,,Federal banking regulators,"Within 180 days of the date of this order, the Federal banking regulators shall review their current supervisory and complaint data",0
14334,2025-15554,Expiration of the initial 90‑day suspension,2025-08-12T00:01:00-04:00,,"This 90‑day suspension expires at 12:01 a.m. eastern daylight time on August 12, 2025.",0
14334,2025-15554,Extended suspension of the ad valorem duties,2025-11-10T00:01:00-05:00,,"continue the suspension effectuated by Executive Order 14298 until 12:01 a.m. eastern standard time on November 10, 2025.",0
14335,2025-15822,120 days from order date,2025-12-11,Secretary of Transportation,"Within 120 days of the date of this order, the Secretary of Transportation shall report to the Assistant to the President for Economic Policy a description of the actions that have been or will be taken pursuant to subsection (b) of this section.",0
14335,2025-15822,180 days from order date,2026-02-09,Secretary of Commerce,"the Secretary of Commerce, ... shall, within 180 days of the date of this order, conduct an evaluation of relevant States' compliance under the Coastal Zone Management Act ...",0
14335,2025-15822,180 days from order date,2026-02-09,"Secretary of Defense, Secretary of Transportation, Administrator of NASA","Within 180 days of the date of this order, the Secretary of Defense, the Secretary of Transportation, and the Administrator of NASA shall execute a memorandum of understanding ...",0
14335,2025-15822,150 days from order date,2026-01-11,Secretary of Commerce,"Within 150 days of the date of this order, the Secretary of Commerce shall propose a process for individualized mission authorizations ...",0
14335,2025-15822,60 days from order date,2025-10-12,Secretary of Transportation,"Within 60 days of the date of this order, the Secretary of Transportation shall establish a position in the Office of the Secretary ...",0
